pg	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE01	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB05	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB11	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA12	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB03	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB08	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB01	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE03	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA10	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB02	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA04	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC07	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC12	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC04	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleD06	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC08	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE11	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB06	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleD07	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC02	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE06	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC06	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC05	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleD01	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA07	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB12	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB10R1	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE10	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleD04	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA08	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleD10	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleD12	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA03	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB10R2	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC10	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB07	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleD11	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA06	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC01	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleD08	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA05	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE05	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleD05	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA11	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB09	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE07	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleD03	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleD02	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA01	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC09	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE08	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE02	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA02	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE12	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE04	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE09	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC11	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB04	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC03	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA09	20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampled09
A0A024R6N5;A0A0G2JRN3	0.000000	52488543.189649	306331070.519955	155801578.780692	258506667.381823	11026394.653624	0.000000	152859262.834411	600192297.031409	475297619.279146	47910190.774829	40134879.337635	1007013172.015387	2449366.244429	661389658.113810	442085567.538615	17803623.994710	5472038.523173	5683656.211408	185524726.379928	1234455883.501321	0.000000	25383376.071108	40887897.562632	23485805.677282	151499213.213074	0.000000	19185117.931523	9646048.316517	331962956.469152	14745790.702368	612313946.783676	17635726.022498	0.000000	691797759.048940	264047461.246387	27565875.952629	1247891627.500578	884021523.535107	30785154.204851	175301192.965506	1017298057.852277	38702612758.514931	130497497.321293	0.000000	10563615595.921064	20090747.083865	167938255.535880	19203969922.021404	714430800.696554	10599554925.035652	0.000000	395496229.036850	643034814.790101	340957225.343509	493862027.600412	0.000000	200632207.607538	25873576.388334	0.000000	2850723377.740712
A0A075B6H7	20983746.044214	15586759.148238	7633061.148735	14422273.330480	46279526.047573	9337874.948815	7351262.090722	36523407.136182	36724007.490385	14976336.211370	30393138.744166	16068994.459524	25878789.152360	11522758.270541	18843506.831100	69559775.221822	32833687.677298	66812641.535829	25931874.693752	74382315.588824	45950668.529910	13529341.613813	25900215.766868	58859800.773231	23430892.129962	8342288.504636	28036195.580685	10269185.125877	78915137.705788	36309642.546233	6283642.573843	32656971.277837	15149989.651829	28258391.974013	82438649.276665	7434230.607049	45798559.463543	24611504.118413	48216300.820122	28352470.432405	39618357.569597	36579752.756176	84101601.638321	46956422.588618	40024895.021858	25835989.085822	44798944.993309	91593486.055897	0.000000	75533036.898531	16298959.140899	48267707.065388	39366280.138041	10578408.620333	16625455.645951	18675305.470123	17282404.947270	10858330.351584	43356615.957257	0.000000	49353463.810373
A0A075B6H9	1603785682.758090	1264442938.771812	985900614.074000	355841086.478039	1224893995.652514	1380599475.087081	222065432.858338	1752544535.254212	616136533.113502	586234738.147130	548121415.721940	1039634926.048498	1929666943.702519	622101867.874385	1888922408.706082	2317058680.405854	1254435913.074006	1067944177.552632	334960941.664873	1247753611.340005	941782915.388808	1079781729.466478	704324091.189310	1961800668.680578	1213114806.398131	569763677.379763	645544498.031547	390926935.388606	134220182.920028	1673604951.971680	654204924.641211	887997542.621856	692162179.047063	586933470.050066	2207937362.534248	233753205.629375	2143101199.168907	278193477.964268	1388942262.498730	30747868.499688	1185517352.630300	1408968540.625990	3341037942.545104	684882760.148734	1327160927.422882	891121161.923806	1110769045.977961	1565261082.123688	0.000000	2181654250.190480	1221388163.849756	2199098687.941841	974996880.600715	1534410361.043420	730147520.182564	1563775965.140445	549141230.587645	117767696.776786	483190996.223487	0.000000	1391980958.308482
A0A075B6I0	1234307627.375402	1017131505.216536	648213481.630571	1124132738.772619	873871467.793832	1393962189.014303	748077360.875479	194254680.157746	923316923.067130	673610978.254042	141493797.920993	233479191.496404	1298888846.950171	0.000000	437839551.667325	1335694238.642260	437888178.270767	1942212870.617412	267033987.773932	0.000000	724751994.178439	0.000000	155631768.613551	881661663.611458	509792945.365139	407150721.655958	160242893.551188	608776992.150947	1944077950.475577	2666392167.053013	612932049.672810	413732731.732966	133389255.089707	127553758.443330	739406881.742688	238925684.595467	253432755.065727	320909773.021726	388804814.373207	1029571689.115826	655975024.113702	583023110.531537	3042657666.366564	446246079.527171	808863643.417426	13245874.710550	336695967.675628	1032526937.314355	0.000000	1475294866.199101	576401296.093646	519133298.203364	662728111.132949	592741290.318926	696145831.074054	1052503135.561135	403047215.259114	284477926.358568	748861069.502883	0.000000	217147871.633719
A0A075B6I1	99818105.142320	143841949.181096	54237006.758680	87516708.246898	84600906.962547	179326209.182231	76203897.935400	14513882.909782	143865151.743980	101625190.076602	184242628.307353	44972303.373423	30100080.974570	146074381.434429	11183495.169890	124196604.089579	103324740.420065	119144950.788965	56131530.817012	174055225.755018	202640514.793903	121492112.105910	13047571.837109	186444758.488523	183681297.283529	144377701.366415	76379096.809097	9833926.837288	344028423.560264	251457813.905818	90569397.150696	72530181.293326	14491258.229535	63093259.031034	159888763.239382	13968689.907352	330112864.131595	5995378.527226	207598035.989085	22734616.358123	79950723.411293	55596813.607677	405853680.180127	67271175.492195	71529344.512566	136219404.440424	25001418.521544	308359362.318501	0.000000	628357004.275334	27439621.727647	350288591.113748	45908487.389741	24025910.896853	212830417.641582	81612568.070310	12073043.927756	78087086.649506	2824593.079508	0.000000	290604414.628638
A0A075B6J9	20895171.887569	10126403.429604	0.000000	5883673.282869	16575361.017253	17971762.261007	15366893.120996	10112142.035637	46881952.777485	35494814.046974	0.000000	36021541.829114	16549654.121114	13274690.289325	32191887.163495	61988397.537698	100497545.304315	42386447.395037	8664224.112729	68137993.647533	23225809.927798	23302363.605093	10292147.997519	47685658.674961	11206823.080708	22122079.070672	7422244.146546	27806534.611880	66161431.176607	0.000000	126120992.313633	0.000000	9887181.910886	10206402.241899	13548950.178323	10643549.248184	41504468.575784	31519745.132503	36795616.708019	28550680.975235	12327954.444567	18341125.383374	65529348.310937	13681123.707077	10741229.175873	12417939.091839	49117208.034138	34203892.858136	0.000000	39158103.866238	40126541.145989	117243775.976032	45714078.689232	0.000000	10076976.027211	26534642.575095	7166064.451571	15200034.786184	15898788.657246	0.000000	16393169.983257
A0A075B6K4	51317457.613623	35296731.932853	49502164.660803	0.000000	103553832.429044	244742682.925331	22011774.552966	168816868.998760	156697884.073339	56415298.153733	72566744.743132	25325751.745243	57578118.085203	72325764.345186	97209399.252991	39214889.242864	35792779.599108	189308154.045996	16333636.189225	107678180.206042	0.000000	56871204.899353	15622130.725973	293145887.309147	103361658.374711	0.000000	27762494.712118	45541559.376367	205110591.154224	82348841.730160	75445465.592084	22681604.188184	29725270.052569	33893117.942000	109145842.949673	39738041.987391	30992358.397745	34185677.914099	59319112.585836	40990026.122740	66800590.036454	76807861.012937	22564956.867149	93667151.247929	23850966.102404	51513020.636523	39366360.930223	0.000000	0.000000	107294497.594870	167821493.866631	99491653.879354	48157598.455884	29946675.752209	0.000000	0.000000	24864595.255760	32268120.846591	141900832.465134	0.000000	95273282.240133
A0A075B6K5	113541227.513557	37610734.374986	82031979.250002	43176460.231096	107175968.712325	104831443.919334	30911864.949821	77285073.759639	270169129.252901	122069978.448039	63754094.346419	102793110.390520	185637067.675344	64405146.243916	148356202.350837	312981689.884612	251873102.268749	140411433.025601	42196124.774588	196872121.710382	140549241.192110	123355355.741794	24246859.834027	183571848.164953	56412907.902272	43005324.620199	65441995.560094	28802800.605969	332391525.992089	393849410.332930	70645463.194585	42526551.390805	40848772.624810	65224588.871322	92489878.341188	47652952.487036	80564776.599722	198382299.257858	196911688.151698	84354211.818966	248389320.444104	240803882.723469	194131375.666461	102228777.451457	116945776.846115	97254770.512204	155577607.524688	125807748.093805	0.000000	601720834.625543	86964373.134712	443881703.708908	125401237.608396	36133870.863923	138279440.024345	97114849.886364	48598078.321187	167306200.930035	24301384.406906	0.000000	257852633.460293
A0A075B6R9;A0A0C4DH68	1029332683.496072	351416135.522602	352504977.988664	579988989.640356	1573702466.075976	362582250.845685	575233801.451401	718262175.657022	527168932.315345	820282517.066136	376120584.960656	587467739.249745	371048248.340707	715453082.779349	1608553314.402398	1352210112.687899	1032601188.059441	986612813.394950	321805114.654380	1509445196.014227	421915856.185625	1406638676.672698	404169049.502694	443947825.947064	941087413.885174	236024855.655416	391850680.082963	381422585.605181	4929654065.439799	1442057827.527294	1525676222.964506	1649617074.129451	199394020.547120	371106138.109209	777381835.602901	370124217.878879	989000093.520970	437989148.485448	1208378681.964265	1320269611.014090	528332039.153834	517298817.742175	3119929145.954379	277421160.629547	671059364.867037	1124430596.735335	897144227.341841	1473147799.317432	0.000000	1518895873.107625	207688854.613076	1212755931.868734	558889290.653684	335538110.841405	602732523.095953	625761208.961627	676397411.905545	1267940262.651635	668421624.511079	0.000000	1409445870.724329
A0A075B6S2	100555264.854864	31028527.370385	19195625.067643	7800696.000705	23601350.713594	22637034.103433	10611209.948959	130028058.265276	98485299.733572	20720358.914025	40948493.513105	90236705.626436	13480006.382474	10975158.832854	132210999.757820	141691848.497079	64990825.879470	123489689.957416	24003890.131415	45959828.369024	45379296.807207	13227936.781903	41162839.223295	128627397.737229	28004772.561186	8831514.879058	42032779.018391	45451107.296073	165726715.395223	0.000000	48690960.960588	64842263.851721	33969792.918364	37133073.312007	77554907.570970	16675640.609154	159505859.609274	61559738.518322	20931372.485132	39280694.767330	77576750.233799	122781698.987097	146305231.432612	40099351.372800	84291142.633883	76926681.135183	73367634.232882	70535456.354296	0.000000	174144399.435037	18835007.703268	101785928.952959	67399404.862710	21103704.801980	85479921.546942	898093119.098829	26866292.081665	7316287.160568	53859893.508632	0.000000	97003630.242888
