Protein.Group,Genes
A0A024R1R8;Q9Y2S6,TMA7;TMA7B
A0A024R4E5,HDLBP
A0A024RBG1;Q9NZJ9-2,NUDT4;NUDT4B
A0A024RBG1;Q9NZJ9;Q9NZJ9-2,NUDT4;NUDT4B
A0A024RCL3;A0A0G2JK11;Q96QC4,MICA
A0A075B6E5;Q8N8S7,ENAH
A0A087WT44,HMOX2
A0A087WT44;P30519;P30519-2,HMOX2
A0A087WUL8;Q6P3W6;P0DPF3;A0A087WVU4;A0A087WZJ2;A0A087WZE1;A0A8V8TMC1;H7BY70;A0A087WTW4;A0A075B6G5,NBPF10;NBPF14;NBPF19;NBPF20;NBPF9
A0A087WV86;Q6PGQ7;Q6PGQ7-2,BORA
A0A087WVD1,LENG9
A0A087WVD1;Q96B70,LENG9
A0A087WVM4;B7ZM99,MTHFD1L
A0A087WVZ9;P19388;A0A0A0MQR7,POLR2E
A0A087WW44;Q00597,FANCC
A0A087WWZ6,PRDM11
A0A087WWZ6;H3BSZ2;Q9NQV5;Q9NQV5-2,PRDM11
A0A087WYI2;Q9UI08;Q9UI08-2;Q9UI08-5,EVL
A0A087WYV9;A0A087X1F5,SYNJ2BP-COX16
A0A087WZE9;A0A994J3W4;A0A9L9PXC9,HMGN3
A0A087X0H9,RBM26
A0A087X0N3,NOL4L
A0A087X1N8;P35237,SERPINB6
A0A087X266;Q9BXJ8;Q9BXJ8-2;A0A024R4K9;A0A087WZA9,TMEM120A
A0A096LNH6,DOCK1
A0A096LP01;A0A096LPB2,SMIM26
A0A096LP25,AAK1
A0A096LP25;Q9NSY1,AAK1;BMP2K
A0A096LP39;A0A0G2JKY0;A0A140TA46,RPP21;TRIM39-RPP21
A0A096LP49-2;A0A096LP49;A0A1W2PQX5;A0A075B739,CCDC187
A0A096LPK8,ZNF638
A0A0A0MQS0,PHF20L1
A0A0A0MQS0;A8MW92-2,PHF20L1
A0A0A0MR51,FADS1
A0A0A0MRF6;A0A7P0TAJ1;Q99996-3;Q99996-6;A0A7P0Z4N5,AKAP9
A0A0A0MRF6;Q99996-3;Q99996-6;A0A7P0Z4N5,AKAP9
A0A0A0MRZ1,UNKL
A0A0A0MT01;P06396;P06396-2;P06396-3;P06396-4;A0A0A0MS51;A0A8V8TND7,GSN
A0A0A0MTR7,RNF213
A0A0B4J1W3,NAA15
A0A0B4J1W3;Q9BXJ9,NAA15
A0A0B4J1W3;Q9BXJ9-4;Q9BXJ9,NAA15
A0A0B4J2D5;P0DPI2,GATD3;GATD3B
A0A0B4J2F0,PIGBOS1
A0A0B4J2F2;P57059,SIK1;SIK1B
A0A0C4DG89,DDX46
A0A0C4DGB9,PPA2
A0A0D9SER5,CDK11B
A0A0D9SER5;E7ESP2;J3KS35,CDK11A;CDK11B
A0A0D9SER5;Q9UQ88-5,CDK11A;CDK11B
A0A0D9SGE8;Q5JRC6,PHF6
A0A0G2JIW1,HSPA1B
A0A0G2JIW1;P0DMV8;P0DMV9,HSPA1A;HSPA1B
A0A0G2JIW1;P0DMV8;P0DMV9;P11142,HSPA1A;HSPA1B;HSPA8
A0A0G2JIW1;P34931;P0DMV8;P0DMV9,HSPA1A;HSPA1B;HSPA1L
A0A0G2JNH2,TJP1
A0A0G2JNH2;H0Y3R8;Q07157;A0A087X0K9,TJP1
A0A0G2JNH2;H0YKB1;Q07157;A0A087X0K9,TJP1
A0A0G2JNH2;Q07157;A0A087X0K9,TJP1
A0A0G2JQF7;O94973;O94973-2,AP2A2
A0A0G2JQT1;A0A0G2JR96,CYFIP1
A0A0J9YVX5;Q9HD26;Q9HD26-2,GOPC
A0A0U1RQJ0,DDX17
A0A0U1RQJ0;Q92841;A0A1X7SBZ2;A0A5H1ZRQ2,DDX17
A0A0U1RQJ0;Q92841;A0A1X7SBZ2;A0A5H1ZRQ2;P17844;J3KTA4,DDX17;DDX5
A0A0U1RQJ2;A0A7P0T890,DST
A0A0U1RQJ2;H3BPE1;H3BQK9;A0A7P0T890,DST;MACF1
A0A0U1RQJ2;Q9UPN3-3;H3BPE1;H3BQK9;Q9UPN3-4;A0A7P0T890;O94854,DST;MACF1
A0A0U1RQK7;A0A8I5KT99;A0A8I5KV92,EIF4G3
A0A0U1RQL9;A0A0U1RQS5;A0A0U1RQV1;B3KNS4,ERVK3-1
A0A0U1RQM0;Q15004;H0YKX3,PCLAF
A0A0U1RQR1;Q9Y484;Q9Y484-3;A0A0U1RR06,WDR45
A0A0U1RRL7,MMP24OS
A0A0X8ASA9;A0A0X8AXX1,BCL2L12
A0A140T905;O75955,FLOT1
A0A140T913;A0A140T9I0;A0A140T9X5;Q53Z42,HLA-A
A0A140T913;A0A140T9I0;A0A140T9X5;Q53Z42;S6AU73;A0A1W2PP67;A0A1W2PQE2;A0A1W2PQZ3,HLA-A;HLA-B
A0A140T9J9;Q5QT33,HLA-C
A0A140T9J9;Q5QT33;A0A140T913;A0A140T9I0;A0A140T9X5;Q53Z42,HLA-A;HLA-C
A0A140T9J9;Q5QT33;A0A140T913;A0A140T9I0;A0A140T9X5;Q53Z42;S6AU73,HLA-A;HLA-B;HLA-C
A0A1B0GTL5,RAB11FIP5
A0A1B0GTL5;Q9BXF6,RAB11FIP5
A0A1B0GU06;A0A1B0GVJ1,ASAH1
A0A1B0GU54;P51531;P51531-2,SMARCA2
A0A1B0GUD6,GRAMD1B
A0A1B0GUI1,RALGAPA1
A0A1B0GUS7;O14795,UNC13B
A0A1B0GUS7;O14795;Q9UPW8;F8VZH8;F8W059;F8W0P6,UNC13A;UNC13B
A0A1B0GUS7;O14795;Q9UPW8;F8VZH8;F8W059;F8W0P6;Q8NB66;A0A3B3ISZ1,UNC13A;UNC13B;UNC13C
A0A1B0GV12,GOLGA8N
A0A1B0GV12;H3BV12;A0A0J9YX86,GOLGA8N;GOLGA8Q
A0A1B0GV70,TEPSIN
A0A1B0GVI3,KRT10
A0A1B0GVI3;P08779;P13645,KRT10;KRT16
A0A1B0GVI3;P13645,KRT10
A0A1B0GVL4,FAM193A
A0A1B0GVL4;P78312-2;P78312-5,FAM193A
A0A1B0GW05,DPY19L1
